,Position,Track Name,Artist,URL,Filename,Unnamed: 0,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
34,35,Throw That Back Like a Cadillac,El Memer,https://open.spotify.com/track/1Y0gaC5pqe1fPv1mlajGNA,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,6s22t5Y3prQHyaHWUN1R1C,modern rock,,
35,36,After Hours,The Weeknd,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,0L5BtJ0tpOgMcQO94P26Tp,trap queen,,
36,37,Drop 'Em Out,Wheeler Walker Jr.,https://open.spotify.com/track/0imfNymwLWKyhLBlBZYg53,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,1RyvyyTE3xzB2ZywiAwp0i,atl hip hop,pop rap,rap
37,38,Bussin,Tay Money,https://open.spotify.com/track/2OBot5OpoT4deri6VkYCyW,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,1E2AEtxaFaJtH0lO7kgNKw,contemporary country,country,country road
38,39,Modern Loneliness,Lauv,https://open.spotify.com/track/1eyek0KJEh2v5HQ9uQSybb,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,6PjV05LlULv9XmFu7HeAia,outlaw country,redneck,
39,40,Selfish,Madison Beer,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,5ZS223C6JyBfXasXxrRqOk,alternative r&b,dance pop,pop
40,41,Apollo,Smoove'L,https://open.spotify.com/track/0VPmIETYsw3JBnyh4iDjVv,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,67xUUajI1dXaeY4e4ouwEN,ccm,cedm,christian pop
41,42,Boss Bitch,Doja Cat,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,0elWFr7TW8piilVRYJUe4P,corrido,corridos tumbados,nuevo regional mexicano
42,43,Don't Stand So Close To Me,The Police,https://open.spotify.com/track/5veJDT0MLsLbhYsx42GXUD,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,5cj0lLjcoR7YOSnhnX0Po5,dance pop,pop,pop rap
43,44,This is Us,Jimmie Allen,https://open.spotify.com/track/7DnNU5rQLgy4KEYvFMrGgW,viral-us-weekly-2020-03-19--2020-03-19.csv,,March,12,Viral 50,2020-03-19,5IbEL2xjRtKsunfmsahLuO,florida rap,underground hip hop,vapor trap
