,Position,Track Name,Artist,Streams,URL,Filename,Month,Date,Week Number,Type
95,96,I Hope,Gabby Barrett,2137120,https://open.spotify.com/track/2Hc4t9N2nt37oO4sF9BynI,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
96,97,Ransom,Lil Tecca,2091854,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
97,98,Skechers,DripReport,2086510,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
98,99,Like That (feat. Gucci Mane),Doja Cat,2066610,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
99,100,Suicidal,YNW Melly,2065687,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
100,101,My Oh My (feat. DaBaby),Camila Cabello,2044296,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
101,102,SLOW DANCING IN THE DARK,Joji,2040451,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
102,103,Heatin Up (feat. Gunna),Lil Baby,2038599,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
103,104,Memories,Maroon 5,2025761,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
104,105,when the party's over,Billie Eilish,2020853,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
105,106,SAD!,XXXTENTACION,2009028,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
106,107,MIDDLE CHILD,J. Cole,1984669,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
107,108,Wow.,Post Malone,1965208,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
108,109,Sum 2 Prove,Lil Baby,1953461,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
109,110,No Idea,Don Toliver,1942691,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
110,111,July,Noah Cyrus,1939107,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
111,112,Watermelon Sugar,Harry Styles,1933680,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
112,113,Suge,DaBaby,1929775,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
113,114,Lo Mein,Lil Uzi Vert,1923348,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
114,115,Goodbyes (Feat. Young Thug),Post Malone,1915401,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
115,116,XO Tour Llif3,Lil Uzi Vert,1912895,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
116,117,SUGAR,BROCKHAMPTON,1909700,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
117,118,Truth Hurts,Lizzo,1901095,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
118,119,Moana,G-Eazy,1899161,https://open.spotify.com/track/1Tfxi7N3DW4zvAuVjt9g8X,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
119,120,BELIEVE IT,PARTYNEXTDOOR,1893187,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
120,121,Know Your Worth,Khalid,1880629,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
121,122,rockstar (feat. 21 Savage),Post Malone,1873939,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
122,123,Qué Maldición,Banda MS de Sergio Lizárraga,1859666,https://open.spotify.com/track/2RxC2peY3FtrurYmbbmanr,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
123,124,Moral of the Story,Ashe,1858878,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
124,125,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,1858108,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
125,126,I Fall Apart,Post Malone,1856427,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
126,127,Emotionally Scarred,Lil Baby,1840124,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
127,128,STARGAZING,Travis Scott,1832579,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
128,129,Heartless (feat. Morgan Wallen),Diplo,1832240,https://open.spotify.com/track/5mTL8ZHcB2LJdlrR78xJYr,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
129,130,The Less I Know The Better,Tame Impala,1817050,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
130,131,After Hours,The Weeknd,1806977,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
131,132,bloody valentine,Machine Gun Kelly,1805667,https://open.spotify.com/track/1bWEngw5tAF7vWByrf5Oy5,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
