,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type
32,33,Midnight Sky,Miley Cyrus,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
33,34,F2020,Avenue Beat,https://open.spotify.com/track/7opTGnWVJcm1e5mWWOldpg,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
34,35,7 Summers,Morgan Wallen,https://open.spotify.com/track/0tbjiOUl4k492KPdWZS9sy,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
35,36,Laugh Now Cry Later (feat. Lil Durk),Drake,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
36,37,Mr Loverman,Ricky Montgomery,https://open.spotify.com/track/0MF5QHFzTUM2dYm6J7Vngt,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
37,38,DDLG,ppcocaine,https://open.spotify.com/track/42dtq3bqOCzD0L2kITk4Dp,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
38,39,ALL GIRLS ARE THE SAME,RØNIN,https://open.spotify.com/track/4xhWfr0tyA7BGL7eXo8KnV,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
39,40,Michelle,Sir Chloe,https://open.spotify.com/track/3sa1wUB8FAkoH95MGPGBWI,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
40,41,Hai Domo,Cao White,https://open.spotify.com/track/5vOwis62qEz4avzkppHHL5,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
41,42,Head & Heart (feat. MNEK),Joel Corry,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
42,43,PJ,ppcocaine,https://open.spotify.com/track/1qxnmVbl8To9W9BcbTS8yC,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
43,44,Things A Man Oughta Know,Lainey Wilson,https://open.spotify.com/track/7cwKO3SvjCpTyLiIWfnxpx,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
44,45,Mi Cuarto,Jerry Di,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
45,46,Just About Over You,Priscilla Block,https://open.spotify.com/track/6VzJCMOzVbvb25LPYQviM5,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
46,47,Such a Whore (Stellular Remix),JVLA,https://open.spotify.com/track/6A25J9As7towpxovYryAWr,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
47,48,Pussy Talk,City Girls,https://open.spotify.com/track/5EzL7hGT9g2Tvqsy158Lu9,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
48,49,Coochie,YN Jay,https://open.spotify.com/track/2UM09BKxJ3NM8qNxzNSdXV,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
49,50,Brace Yourself,zenorachi,https://open.spotify.com/track/6YMjTao59i1kRdmYlB33N8,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
