,Position,Track Name,Artist,URL,Filename,Month,Date,Week Number,Type,Artist ID,Genre 1,Genre 2,Genre 3
78,29,Mariposa,Peach Tree Rascals,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,0imE3buPhAowREqCrr4CYe,alternative r&b,chill r&b,indie r&b
79,30,Break Things,Kylie Morgan,https://open.spotify.com/track/45hbxz8xCxQfa9vmnV187v,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,3g2yaL04Uapb5fxmwsUZgV,contemporary country,country pop,
80,31,Astronomia,Vicetone,https://open.spotify.com/track/665AK0ovB11McZRwfa852G,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,0daugAjUgbJSqdlyYNwIbT,edm,electro house,pop dance
81,32,you broke me first,Tate McRae,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,45dkTj5sMRSjrmBSBeiHym,alt z,electropop,pop
82,33,The Blessing (Live),Elevation Worship,https://open.spotify.com/track/5O306r2a9Nl7rm5ZlaTqka,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,3YCKuqpv9nCsIhJ2v8SMix,ccm,christian music,world worship
83,34,(i hope you) miss me,Joseph Black,https://open.spotify.com/track/1Zv2jT7iZu98Feqpzhn0nd,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,7sPFCTilT1dZsqcDXzOiQf,viral rap,,
84,35,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,0Cp8WN4V8Tu4QJQwCN5Md4,alt z,nz pop,pop
85,36,Breaking Me,Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,0u6GtibW46tFX7koQ6uNJZ,dance pop,edm,german dance
86,37,Sick and Tired,iann dior,https://open.spotify.com/track/5eU0KDvZVfFl4ehleRwGGF,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,6ASri4ePR7RlsvIQgWPJpS,melodic rap,pop rap,
87,38,Everybody Business,Kehlani,https://open.spotify.com/track/6TrdeNEgbKuBqIToRfdWMY,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,0cGUm45nv7Z6M6qdXYQGTX,dance pop,pop,pop rap
88,39,Finesse,Bryson Tiller,https://open.spotify.com/track/4VjGRnrVnqy5eN45aokIzT,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,68D6xwiWHcC6cyR2aBVwNz,unspecified,,
89,40,Perreo Intenso,Ankhal,https://open.spotify.com/track/4B2kFp1ulVz1FgwVYSShoj,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,6NmMI7UnfmIpLRYoz8H9jm,reggaeton flow,,
90,41,Sunday Best,Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,4ETSs924pXMzjIeD6E9b4u,bedroom soul,pop,
