,Unnamed: 0,Position,Track Name,Artist,Streams,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
683,83,84,Darkness,Eminem,2526256,https://open.spotify.com/track/5SiZJoLXp3WOl3J4C8IK0d,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,7dGJo4pcD2V6oG8kP0tJRR,detroit hip hop,hip hop,rap
684,84,85,Legends,Juice WRLD,2511460,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,
685,85,86,Baby (Lil Baby feat. DaBaby),Quality Control,2490963,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,6i392l38cR3uBPF0DbNs7S,hip hop,melodic rap,pop rap
686,86,87,Murder On My Mind,YNW Melly,2456334,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,1cNDP5yjU5vjeR8qMf4grg,melodic rap,trap,
687,87,88,Without Me,Halsey,2436338,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,26VFTg2z8YR0cCuwLzESi2,dance pop,electropop,etherpop
688,88,89,Sunday Best,Surfaces,2425009,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4ETSs924pXMzjIeD6E9b4u,bedroom soul,pop,
689,89,90,Peta (feat. Meek Mill),Roddy Ricch,2422871,https://open.spotify.com/track/4bl1HBZliBuYpFZjWgefE4,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
690,90,91,Unaccommodating (feat. Young M.A),Eminem,2419002,https://open.spotify.com/track/0q2vG0UVuy6ajjcpkQHdZM,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,7dGJo4pcD2V6oG8kP0tJRR,detroit hip hop,hip hop,rap
691,91,92,Hate Me (with Juice WRLD),Ellie Goulding,2410391,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,0X2BH1fck6amBIoJhDVmmJ,dance pop,edm,electropop
692,92,93,SLOW DANCING IN THE DARK,Joji,2396812,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,3MZsBdqDrRTJihTHQrO6Dq,alternative r&b,viral pop,
693,93,94,Going Bad (feat. Drake),Meek Mill,2389512,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,20sxb77xiYeusSH8cVdatc,hip hop,philly rap,pop rap
694,94,95,Pop Out (feat. Lil Tjay),Polo G,2383201,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,6AgTAQt8XS6jRWi4sX7w49,chicago rap,,
695,95,96,Drip Too Hard (Lil Baby & Gunna),Lil Baby,2379398,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,5f7VJjfbwm532GiveGC0ZK,atl hip hop,atl trap,rap
696,96,97,RITMO (Bad Boys For Life),Black Eyed Peas,2373096,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,1yxSLGMDHlW21z4YXirZDS,dance pop,pop,pop rap
697,97,98,Jocelyn Flores,XXXTENTACION,2365267,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,15UsOTVnJzReFVN1VCnxy4,emo rap,miami hip hop,
698,98,99,Vete,Bad Bunny,2353289,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4q3ewBCX7sLwd24euuV69X,latin,reggaeton,trap latino
699,99,100,The London (feat. J. Cole & Travis Scott),Young Thug,2319293,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,50co4Is1HCEo8bhOyUWKpn,atl hip hop,atl trap,gangster rap
700,100,101,Graveyard,Halsey,2308564,https://open.spotify.com/track/2ufmtcIFdFpuUYBPXK5f67,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,26VFTg2z8YR0cCuwLzESi2,dance pop,electropop,etherpop
701,101,102,Hand Me Downs,Mac Miller,2307831,https://open.spotify.com/track/2Yv2mHzr5AQavVdwQjEokV,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4LLpKhyESsyAXpc4laK94U,hip hop,pittsburgh rap,rap
702,102,103,Heartless (feat. Morgan Wallen),Diplo,2297054,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,5fMUXHkw8R8eOP2RNVYEZX,bmore,dance pop,edm
703,103,104,SICKO MODE,Travis Scott,2281093,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,0Y5tJX1MQlPlqiwlOH1tJY,rap,slap house,
704,104,105,ocean eyes,Billie Eilish,2275620,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,6qqNVTkY8uBg9cP3Jd7DAH,electropop,pop,
705,105,106,SAD!,XXXTENTACION,2272275,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,15UsOTVnJzReFVN1VCnxy4,emo rap,miami hip hop,
706,106,107,7 rings,Ariana Grande,2250440,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,66CXWjxzNUsdJxJ2JdwvnR,pop,post-teen pop,
707,107,108,bury a friend,Billie Eilish,2249635,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,6qqNVTkY8uBg9cP3Jd7DAH,electropop,pop,
708,108,109,F.N,Lil Tjay,2228059,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,6jGMq4yGs7aQzuGsMgVgZR,brooklyn drill,melodic rap,nyc rap
709,109,110,P*$$Y Fairy (OTW),Jhené Aiko,2225146,https://open.spotify.com/track/48KXAIruJ07kJVCWOGohMV,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,5ZS223C6JyBfXasXxrRqOk,alternative r&b,dance pop,pop
710,110,111,Maniac,Conan Gray,2188450,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4Uc8Dsxct0oMqx0P6i60ea,alt z,bedroom pop,electropop
711,111,112,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,2172762,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,246dkjvS1zLTtiykXe5h60,dfw rap,melodic rap,rap
712,112,113,Falling,Harry Styles,2162882,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,6KImCVD70vtIoJWnq6nGn3,pop,post-teen pop,
713,113,114,Lights Up,Harry Styles,2142023,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,6KImCVD70vtIoJWnq6nGn3,pop,post-teen pop,
